path,size,is_empty,has_path,path_count,path_tokens,image_count,base64_image_count
"/Users/xiaoxiaobo/random2000/EAD29nq102s_紫红色开放空间设计现代房地产宣传中文演示文稿/幻灯片17.SVG",184691,0,1,3,65,1,1
"/Users/xiaoxiaobo/random2000/EAD29nq102s_紫红色开放空间设计现代房地产宣传中文演示文稿/幻灯片7.SVG",505101,0,1,1,12,1,1
"/Users/xiaoxiaobo/random2000/EAD29nq102s_紫红色开放空间设计现代房地产宣传中文演示文稿/幻灯片6.SVG",427898,0,1,1,12,1,1
"/Users/xiaoxiaobo/random2000/EAD29nq102s_紫红色开放空间设计现代房地产宣传中文演示文稿/幻灯片16.SVG",5962,0,0,0,0,0,0
"/Users/xiaoxiaobo/random2000/EAEjBmCcHEQ_蓝绿色人物医疗健康医疗健康中文演示文稿/幻灯片8.SVG",23710,0,1,4,240,1,1
"/Users/xiaoxiaobo/random2000/EAEjBmCcHEQ_蓝绿色人物医疗健康医疗健康中文演示文稿/幻灯片9.SVG",552477,0,1,4,240,1,1
"/Users/xiaoxiaobo/random2000/EAEjBmCcHEQ_蓝绿色人物医疗健康医疗健康中文演示文稿/幻灯片12.SVG",5097,0,1,4,240,0,0
"/Users/xiaoxiaobo/random2000/EAEjBmCcHEQ_蓝绿色人物医疗健康医疗健康中文演示文稿/幻灯片2.SVG",178104,0,1,4,240,1,1
"/Users/xiaoxiaobo/random2000/EAEjBmCcHEQ_蓝绿色人物医疗健康医疗健康中文演示文稿/幻灯片3.SVG",983709,0,1,4,240,1,1
"/Users/xiaoxiaobo/random2000/EAEjBmCcHEQ_蓝绿色人物医疗健康医疗健康中文演示文稿/幻灯片13.SVG",4472,0,1,4,240,0,0
"/Users/xiaoxiaobo/random2000/EAEjBmCcHEQ_蓝绿色人物医疗健康医疗健康中文演示文稿/幻灯片11.SVG",5059,0,1,4,240,0,0
"/Users/xiaoxiaobo/random2000/EAEjBmCcHEQ_蓝绿色人物医疗健康医疗健康中文演示文稿/幻灯片1.SVG",524175,0,1,8,1751,1,1
"/Users/xiaoxiaobo/random2000/EAEjBmCcHEQ_蓝绿色人物医疗健康医疗健康中文演示文稿/幻灯片10.SVG",342224,0,1,4,240,1,1
"/Users/xiaoxiaobo/random2000/EAEjBmCcHEQ_蓝绿色人物医疗健康医疗健康中文演示文稿/幻灯片14.SVG",23800,0,1,52,2561,0,0
"/Users/xiaoxiaobo/random2000/EAEjBmCcHEQ_蓝绿色人物医疗健康医疗健康中文演示文稿/幻灯片4.SVG",717697,0,1,4,240,1,1
"/Users/xiaoxiaobo/random2000/EAEjBmCcHEQ_蓝绿色人物医疗健康医疗健康中文演示文稿/幻灯片5.SVG",984704,0,1,4,240,1,1
"/Users/xiaoxiaobo/random2000/EAEjBmCcHEQ_蓝绿色人物医疗健康医疗健康中文演示文稿/幻灯片15.SVG",1256360,0,1,4,240,2,2
"/Users/xiaoxiaobo/random2000/EAEjBmCcHEQ_蓝绿色人物医疗健康医疗健康中文演示文稿/幻灯片7.SVG",493646,0,1,4,240,2,2
"/Users/xiaoxiaobo/random2000/EAEjBmCcHEQ_蓝绿色人物医疗健康医疗健康中文演示文稿/幻灯片6.SVG",821229,0,1,4,240,1,1
"/Users/xiaoxiaobo/random2000/EADcCB-_uec_黑白星空个性自我介绍演示文稿/幻灯片8.SVG",944190,0,1,7,629,1,1
"/Users/xiaoxiaobo/random2000/EADcCB-_uec_黑白星空个性自我介绍演示文稿/幻灯片9.SVG",1113898,0,1,4,54,1,1
"/Users/xiaoxiaobo/random2000/EADcCB-_uec_黑白星空个性自我介绍演示文稿/幻灯片2.SVG",871578,0,1,1,24,1,1
"/Users/xiaoxiaobo/random2000/EADcCB-_uec_黑白星空个性自我介绍演示文稿/幻灯片3.SVG",538282,0,1,3,44,1,1
"/Users/xiaoxiaobo/random2000/EADcCB-_uec_黑白星空个性自我介绍演示文稿/幻灯片1.SVG",1458485,0,1,9,4095,1,1
"/Users/xiaoxiaobo/random2000/EADcCB-_uec_黑白星空个性自我介绍演示文稿/幻灯片10.SVG",1112156,0,1,1,24,1,1
"/Users/xiaoxiaobo/random2000/EADcCB-_uec_黑白星空个性自我介绍演示文稿/幻灯片4.SVG",88289,0,1,7,78,1,1
